taxon	unknown	unknown.1	unknown.2	unknown.3	unknown.4	unknown.5	unknown.6	unknown.7	unknown.8	unknown.9	unknown.10	unknown.11	unknown.12	unknown.13	unknown.14	unknown.15	unknown.16	unknown.17	unknown.18	unknown.19	unknown.20	unknown.21	unknown.22	unknown.23	unknown.24	unknown.25	unknown.26	unknown.27	unknown.28	unknown.29	tRNA-Ala	unknown.30	unknown.31	unknown.32	unknown.33	unknown.34	unknown.35	unknown.36	unknown.37	unknown.38	unknown.39	unknown.40	unknown.41	unknown.42	unknown.43	unknown.44	unknown.45	unknown.46	unknown.47	unknown.48	unknown.49	unknown.50	unknown.51	unknown.52	unknown.53	unknown.54	unknown.55	unknown.56	fusA	unknown.57	unknown.58	unknown.59	unknown.60	unknown.61	unknown.62	unknown.63	unknown.64	unknown.65	unknown.66	unknown.67	unknown.68	unknown.69	unknown.70	unknown.71	unknown.72	unknown.73	unknown.74	unknown.75	unknown.76	unknown.77	unknown.78	unknown.79	fructokinase	unknown.80	unknown.81	unknown.82	unknown.83	unknown.84	unknown.85	unknown.86	
Ersochactis scapsuvoscis																			2015-11-10-sim-6_9X5BW2																2015-11-10-sim-6_0I6TXU					2015-11-10-sim-6_PFI9D5																2015-11-10-sim-6_EE0EFL																																		2015-11-10-sim-6_XGC0H3	
Pan troglodytes																																												2015-11-10-sim-6_IR8YGR						2015-11-10-sim-6_VZTZAX										2015-11-10-sim-6_POXRUC					2015-11-10-sim-6_TWEEZ1																			2015-11-10-sim-6_LWIV92							
Presbytis comata	2015-11-10-sim-6_A6TEL9								2015-11-10-sim-6_CF8S2Y																				2015-11-10-sim-6_F4AIVR								2015-11-10-sim-6_4WI0AR																																																					2015-11-10-sim-6_320ZAZ	
Nycticebus pygmaeus				2015-11-10-sim-6_J8K6YU																					2015-11-10-sim-6_1VTFGN													2015-11-10-sim-6_MCIZBE							2015-11-10-sim-6_6SL6UJ											2015-11-10-sim-6_ILXIZN																																			
Nycticebus menagensis				2015-11-10-sim-6_71NS1I																												2015-11-10-sim-6_LU42J4																			2015-11-10-sim-6_U41EHI		2015-11-10-sim-6_JCU0GK																					2015-11-10-sim-6_NX2PTF																	
Chlorocebus cynosuros													2015-11-10-sim-6_NC96I2																2015-11-10-sim-6_1JXNRU								2015-11-10-sim-6_09I1O7																																													2015-11-10-sim-6_MNXRP6								2015-11-10-sim-6_85K201	
Microcebus bongolavensis																																																						2015-11-10-sim-6_EQE8P0	2015-11-10-sim-6_5SKRR5																	2015-11-10-sim-6_WX7QV7							2015-11-10-sim-6_DKNHLR				2015-11-10-sim-6_YJ6WWQ								
Procrovichas miquuprilas																																						2015-11-10-sim-6_DD2AJK																												2015-11-10-sim-6_XEVJS0					2015-11-10-sim-6_8G3LK9																2015-11-10-sim-6_MK5W52		2015-11-10-sim-6_72VUPO		
Galago granti					2015-11-10-sim-6_R38QBI																			2015-11-10-sim-6_JUKNOI																										2015-11-10-sim-6_DGUQBC										2015-11-10-sim-6_EQX2PN																														2015-11-10-sim-6_66G0UR	
Cebus libidinosus				2015-11-10-sim-6_JJYPVF														2015-11-10-sim-6_K59701						2015-11-10-sim-6_HQWXUC								2015-11-10-sim-6_RCVI31																											2015-11-10-sim-6_XE7814																																
Avahi cleesei																													2015-11-10-sim-6_P0V2M4			2015-11-10-sim-6_Z53D4B					2015-11-10-sim-6_D2WWBV				2015-11-10-sim-6_MJFOY1		2015-11-10-sim-6_CC0ORS																																															2015-11-10-sim-6_WH7OO0	
Saimiri oerstedii																2015-11-10-sim-6_ZLTKUT							2015-11-10-sim-6_U45PL8		2015-11-10-sim-6_C5EM2F														2015-11-10-sim-6_0FS1WA																							2015-11-10-sim-6_32SM7R													2015-11-10-sim-6_441I3S																
Saguinus leucopus									2015-11-10-sim-6_SZFGUR																					2015-11-10-sim-6_QB6LNZ																															2015-11-10-sim-6_BA1FP2																				2015-11-10-sim-6_6EO79Z									2015-11-10-sim-6_EHLYYT	
Leontopithecus chrysopygus		2015-11-10-sim-6_NGU16R				2015-11-10-sim-6_VWA45D	2015-11-10-sim-6_09CVN9					2015-11-10-sim-6_72UBN3																										2015-11-10-sim-6_ZI28J0																																										2015-11-10-sim-6_GTK4CE											
Cacajao calvus																															2015-11-10-sim-6_BA7075																												2015-11-10-sim-6_TATSAJ							2015-11-10-sim-6_H5Q1FG					2015-11-10-sim-6_CJYAYA																		2015-11-10-sim-6_FD78YA	2015-11-10-sim-6_BI0J4R	
Callicebus moloch	2015-11-10-sim-6_FTX5YT															2015-11-10-sim-6_WQ896U			2015-11-10-sim-6_04ZPNZ																2015-11-10-sim-6_RLT4Y3																												2015-11-10-sim-6_YA73DQ															2015-11-10-sim-6_04LMZF													
Hapalemur aureus																2015-11-10-sim-6_F77DKU																						2015-11-10-sim-6_2HEY5W			2015-11-10-sim-6_NZ3AMY	2015-11-10-sim-6_N69F8J	2015-11-10-sim-6_7OHEDT																																															2015-11-10-sim-6_UQA2VT	
Symphalangus syndactylus																							2015-11-10-sim-6_L6D7P0																					2015-11-10-sim-6_67RGD8																			2015-11-10-sim-6_5ENVXX		2015-11-10-sim-6_ZXVEM3		2015-11-10-sim-6_WC262I																								
Cheirogaleus medius														2015-11-10-sim-6_XVZ7F1					2015-11-10-sim-6_9Y5L3E															2015-11-10-sim-6_EL0C1F																2015-11-10-sim-6_7T53JI										2015-11-10-sim-6_OIMHA0																		2015-11-10-sim-6_304YQE													
Cercocebus chrysogaster	2015-11-10-sim-6_I0KOAL																																					2015-11-10-sim-6_YI2OE4						2015-11-10-sim-6_G15VG3															2015-11-10-sim-6_LFXHAM						2015-11-10-sim-6_PP6NN4																									2015-11-10-sim-6_B2ICTG	
Cercocebus agilis												2015-11-10-sim-6_WMXFB7																							2015-11-10-sim-6_UGUJ09										2015-11-10-sim-6_6EF78N														2015-11-10-sim-6_WL9WS6															2015-11-10-sim-6_8EQXM2										2015-11-10-sim-6_E04TJU							
Pongo pygmaeus												2015-11-10-sim-6_851C83																																						2015-11-10-sim-6_YIZTOD							2015-11-10-sim-6_JH0OHV		2015-11-10-sim-6_9C9L45								2015-11-10-sim-6_6WUFNP																								
Cebus capucinus																			2015-11-10-sim-6_WRO663										2015-11-10-sim-6_3B7ZFQ			2015-11-10-sim-6_BL9DRR					2015-11-10-sim-6_7L1Q73																										2015-11-10-sim-6_XQIQHN																											2015-11-10-sim-6_VXTDRA	
Varecia rubra									2015-11-10-sim-6_2NQARE													2015-11-10-sim-6_DJ204T		2015-11-10-sim-6_YT6CCW														2015-11-10-sim-6_YAGGWD																							2015-11-10-sim-6_MECC4V																													2015-11-10-sim-6_ZY73GB	
Macaca nemestrina																		2015-11-10-sim-6_RVE285	2015-11-10-sim-6_KI14DP													2015-11-10-sim-6_CGUHOR						2015-11-10-sim-6_XKHWWK																																											2015-11-10-sim-6_9JSW91									2015-11-10-sim-6_WYORX2	
Rhinopithecus strykeri										2015-11-10-sim-6_UYSRAG			2015-11-10-sim-6_W4N8KG		2015-11-10-sim-6_SUSY2A																																												2015-11-10-sim-6_FBEE46																													2015-11-10-sim-6_UYILI4		2015-11-10-sim-6_V0KABF	
Avahi laniger																																				2015-11-10-sim-6_RBDKVE																																2015-11-10-sim-6_Z03QU2		2015-11-10-sim-6_G2X3LK								2015-11-10-sim-6_ONECPK												2015-11-10-sim-6_ENA606	
Tarsius tarsier																2015-11-10-sim-6_N03MKP		2015-11-10-sim-6_VFDNYD							2015-11-10-sim-6_QIA0R8		2015-11-10-sim-6_8QBX6R																																																2015-11-10-sim-6_4WYFA7												2015-11-10-sim-6_4HUAHJ				
Loris tardigradus																						2015-11-10-sim-6_F9TLNF																									2015-11-10-sim-6_DTMQAN																			2015-11-10-sim-6_13HZPA					2015-11-10-sim-6_D1EHJA										2015-11-10-sim-6_Y2E0HR								2015-11-10-sim-6_8IT8KV		
Allocebus trichotis		2015-11-10-sim-6_57U060								2015-11-10-sim-6_J5J5A7					2015-11-10-sim-6_IAYI9B	2015-11-10-sim-6_VIRIXD						2015-11-10-sim-6_30SS25																																																				2015-11-10-sim-6_H57HAB	2015-11-10-sim-6_6TI9QG																
